text,sa_coarse,sa_fine_modified
@OttoBerger6,DIRECTIVE,ADDRESS
@rspctfl @Innenwelttramp @ergroovt @ThomasMichael71 @houelle_beck @ksemann2 @DrKassandraPari,DIRECTIVE,ADDRESS
@AndreaSchlegel3,DIRECTIVE,ADDRESS
"Schliesslich muß man jede Chance nutzen, den Deutschen kleinzuhalten- "" nach DER Vergangenheit...""",EXPRESSIVE,COMPLAIN
@d_pesch @_StultaMundi @ThomasMichael71 @PiratNrw @ismail_kupel,DIRECTIVE,ADDRESS
#ChemnitzDerAnfang,OTHER,OTHER
"Die würden alles manipulieren, um die Auflage zu steigern.",ASSERTIVE,ASSERT
@TomMayerEuropa,DIRECTIVE,ADDRESS
"Mh, mal überlegen,",ASSERTIVE,ASSERT
Wie bauchlinks kann ein User bitte sein?,DIRECTIVE,REQUEST
"Die letzte Riege: Maas, Stegner, Chebli, Lauterbach",ASSERTIVE,ASSERT
"Eine ""Sie""also...",ASSERTIVE,ASSERT
Ansonsten gibt es keine Argumente,ASSERTIVE,ASSERT
the Führer is very amused...,ASSERTIVE,ASSERT
"Als ich noch in der Kirche war, bat ich auch um Hilfe.",ASSERTIVE,ASSERT
das gehört eindeutig entsorgt...!,DIRECTIVE,REQUIRE
"Europäische Straßen sehen aus wie im Nahen Osten,",EXPRESSIVE,COMPLAIN
@faber_christoph @luftspringer,DIRECTIVE,ADDRESS
In Deutschland gibt es auch Terroranschläge.,ASSERTIVE,ASSERT
man kann nichts anderes zu der Partei sagen.,ASSERTIVE,ASSERT
@tagesschau,DIRECTIVE,ADDRESS
Gibt ja jede Menge Beispiele LinksGrün-zersetzter Truppen!,ASSERTIVE,ASSERT
@Hartes_Geld,DIRECTIVE,ADDRESS
"bin ich jetzt stärker oder Opfer in der Gesellschaft?""",DIRECTIVE,REQUEST
@MDRAktuell,DIRECTIVE,ADDRESS
@OehzenMiriam @NicksyNicky,DIRECTIVE,ADDRESS
Was nicht geschah...,ASSERTIVE,ASSERT
"Die Wahrheit, kommt so, oder so immer ans Licht.",ASSERTIVE,ASSERT
Kann ich mir nur durch unüberlegtes Followback erklären.,ASSERTIVE,ASSERT
Was für ein Schieber ...,UNSURE,UNSURE
Bei soviel geballter Blödheit reden die tatsächlich noch über Frauenquoten.,ASSERTIVE,ASSERT
🌹👍🏻,EXPRESSIVE,expressEMOJI
... es ist ein Segen,ASSERTIVE,ASSERT
Diese Gelbwestenkacke ist nicht politisch.,ASSERTIVE,ASSERT
"Wer sich von Zionisten für Propaganda ein Gehalt bezahlen lässt, ist alles andere, aber nicht unabhängig.",ASSERTIVE,ASSERT
Nicht jeder Moslem ist Islamisten.,ASSERTIVE,ASSERT
Stimmt das?,DIRECTIVE,REQUEST
"Wieder ein Beispiel für angeblichen ""Antikapitalismus""von Rechts ...",EXPRESSIVE,COMPLAIN
nützt alles nix!,ASSERTIVE,ASSERT
"Die unterschiedlichen Hautfarben unterschiedlicher Kontinente,",UNSURE,UNSURE
sie wollen Christen verfolgen ....!!!,ASSERTIVE,ASSERT
#fcsp,OTHER,OTHER
Bitte nicht falsch verstehen.,DIRECTIVE,REQUIRE
"Gamer: ""Frauen gucken uns mit dem Arsch nicht an!",ASSERTIVE,ASSERT
Es baut aufeinander auf.,ASSERTIVE,ASSERT
jagd die #Grünen-Nazis zum Teufel,DIRECTIVE,REQUIRE
|LBR| Insofern...,UNSURE,UNSURE
Was erwarten Sie von Rothschild Sklaven die ihre Seele dem Satan verkauf haben!,DIRECTIVE,REQUEST
"|LBR| Die linke,deutsch/islamische #Bundesregierung kann den #korantreuen #Moslems #IS #Hamas doch gleich den Schlüssel zu Deutschland überreichen.",DIRECTIVE,SUGGEST
|LBR| Man muss den deutschen Außenminister ja vor der kompletten Bloßstellung bewahren!,EXPRESSIVE,COMPLAIN
@AcarLukas @allesevolution,DIRECTIVE,ADDRESS
Sind Schulen jetzt die neuen Konzentrationslager für Deutsche?,DIRECTIVE,REQUEST
🤣,EXPRESSIVE,expressEMOJI
Ich ahnte es ...,ASSERTIVE,ASSERT
ist halt auch wichtig denn was nicht draußen ankommt gilt hat auch nicht,UNSURE,UNSURE
|LBR| Clinton |LBR| Der Antichrist !!!!,ASSERTIVE,ASSERT
#ErdoganNotWelcome,OTHER,OTHER
"Man setzt lieber die eigene Bevölkerung der Gefahr aus, Opfer eines Verbrechens zu werden, bevor man ausländische Straftäter abschieben mag.",EXPRESSIVE,COMPLAIN
weg mit #Macron,DIRECTIVE,REQUIRE
Keine Verzweiflung.,ASSERTIVE,ASSERT
😎,EXPRESSIVE,expressEMOJI
"|LBR| Selbst den Kleinsten wird schon eingeimpft, dass Diversität, Umvolkung und Klimahysterie ganz tolle Erfindungen des 21. Jahrhunderts sind.",EXPRESSIVE,COMPLAIN
@Tevsa @stefanolix,DIRECTIVE,ADDRESS
Ist abgehört worden.,ASSERTIVE,ASSERT
Jetzt lebt auch damit,DIRECTIVE,REQUEST
"Die korrupten MENA_Watch-Lügner hingegen lesen nur, was aus dem Hintern ihrer Herrchen in Tel Aviv kommt... oder ihren Gehaltsscheck vom zionistischen Stahl-Dealer...",EXPRESSIVE,COMPLAIN
"Flintenuschi kam heute in der Berliner Gedächtniskirche ""groß raus""",ASSERTIVE,ASSERT
|LBR| Sie haben es versucht |LBR| Doch es nie geschafft,ASSERTIVE,ASSERT
"Das hättet ihr 2 korrupten Quartalslügner wohl gern, dass eure Lügen, Hetze und Verleumdungen unwidersprochen stehen bleiben...",ASSERTIVE,GUESS
@FeePatzer,DIRECTIVE,ADDRESS
"Es wird nie möglich sein zu sagen, dieses oder jenes Ereignis ist Folge des Klimawandels und erst recht nicht Folge irgendeiner Emmissionsmenge.",ASSERTIVE,PREDICT
Durch meine Erfahrung mit der Scheinheilgsten Partei Deutschlands wurde Hass auf dieselbe entwickelt.,EXPRESSIVE,COMPLAIN
spielt Bildung keine Rolle....,DIRECTIVE,REQUEST
"ich meine auf jeder größeren demo siehst du die jw fahnen,",ASSERTIVE,SUSTAIN
😂😂😂,EXPRESSIVE,expressEMOJI
|LBR| Dafür bezahle ich gerne extra...!,ASSERTIVE,ASSERT
@reticularis @ErikMarquardt,DIRECTIVE,ADDRESS
|LBR| Nur noch dieses Lied.,COMMISSIVE,COMMISSIVE
|LBR| Bei Asylanten wird Rechtsbeugung zur Regel und Schlafmichel läst sich alles bieten,EXPRESSIVE,COMPLAIN
|LBR| Nur leider ist die Elektromobilität keine adäquate Alternative zum Auto mit Verbrennungsmotor und Kernenergie wurde aus reinem Opportunismus aufgegeben.,EXPRESSIVE,COMPLAIN
"Wie gesagt,  wenn alle Stricke reißen,  kaufe ich mir Kopftuch,  klebe Damenbarthaare an,  und melde mich beim Lageso.",ASSERTIVE,ASSERT
btw sorry ob meiner polemik im ausgangstweet,EXPRESSIVE,EXCLUDED
|LBR| Glaubt nicht ihre Lügen,DIRECTIVE,REQUIRE
LBR| Geh doch ein bisschen mit Zahngold spielen...,DIRECTIVE,REQUIRE
@QueenSolaphea,DIRECTIVE,ADDRESS
Tiere auch!,ASSERTIVE,ASSERT
"Damit der ausgediente deutsche Diesel als ""Gute Tat""nach Afrika verschifft wird, weil die keine Richtwerte haben?",DIRECTIVE,REQUEST
👍🤣🤣🤣,EXPRESSIVE,expressEMOJI
welches Meth nimmt eigentlich @DoroBaer?,DIRECTIVE,REQUEST
Du hast noch den Endsatz vergessen:,ASSERTIVE,ASSERT
"Illegale Invasoren abfangen und dorthin zurückjagen, |LBR| wo sie herkommen.",ASSERTIVE,ASSERT
es gibt hier nix zu sehen ...,ASSERTIVE,ASSERT
"Da sollten auch Asylanten eingesetzt werden, die für nichts abkassieren und sich den Tag über langweilen.",ASSERTIVE,ASSERT
(orientierungslose Jugendliche in die Hände von Moslems treiben),ASSERTIVE,ASSERT
"Nur ""DER"" hatte noch Soldaten,",ASSERTIVE,ASSERT
👍🤣,EXPRESSIVE,expressEMOJI
@vonBeutelratte @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva,DIRECTIVE,ADDRESS
"|LBR| Zum Glück gibt's tapfere Aufklärer ausm AZ, die jetzt 24/7 die Demokratie gegen linksextreme Vandalen verteidigen",UNSURE,UNSURE
Heute ist #HumanRightsDay Tag der Menschenrechte die es in Deutschland für Millionen Menschen seit der #SPD #CDU #CSU #Grünen #FDP Agenda 2010 Harz IV einführung nicht mehr gibt.,ASSERTIVE,ASSERT
"ihr Tweet zeigt welch Geistes Kind sie sind,",ASSERTIVE,ASSERT
"|LBR| #bunt ist = #blutrot und bedeutet, staatlich alimentierter Hass, Gewalt und Terror durch #Migranten #Asylanten #Flüchtlinge wie man täglich auf deutschen/europäischen Strassen sehen kann.",ASSERTIVE,ASSERT
@Namiimon @CayVL @mountainman1977 @zeitonline,DIRECTIVE,ADDRESS
war das nich letztens schon?,DIRECTIVE,REQUEST
wie bestellt so geliefert!,ASSERTIVE,ASSERT
Ich biete Ihnen gute Zusammenarbeit an..,COMMISSIVE,COMMISSIVE
Zeit bis 11.12,ASSERTIVE,ASSERT
"Das ist Satire, oder?",DIRECTIVE,REQUEST
Man sollte sie rückstandslos #entsorgen.,DIRECTIVE,REQUEST
@Norbinator2403,DIRECTIVE,ADDRESS
"|LBR| Morgen heisst Diaa/Mohammed dann Abdullah, ist 26 und in der Heimat bereits verheiratet.",ASSERTIVE,PREDICT
"#heuteshow wirbt wieder fürs abschieben ... voll auf rechter Linie ... und das in einem Land welches 2 Weltkriege und Auschwitz zu verantworten hat, ergo Millionen Geflüchtete ...",ASSERTIVE,ASSERT
Schämen Sie sich.,DIRECTIVE,REQUIRE
watch out -,DIRECTIVE,REQUIRE
@CommieEater,DIRECTIVE,ADDRESS
Von der Seite habe ich es noch gar nicht gesehen.,UNSURE,UNSURE
Und das trotz so vieler Hashtags dieses Jahr.,UNSURE,UNSURE
Wer AfD als Nazi tituliert ist ein dummer dämlicher Verlierer der anderen Parteien...,ASSERTIVE,ASSERT
#Brexit,OTHER,OTHER
"Ihr Naziwahn treibt Sie gerade in eine Psychose,",ASSERTIVE,ASSERT
obergärig und als Flasche schnell abgefüllt !,EXPRESSIVE,COMPLAIN
"Herausfinden, was geschehen ist.",ASSERTIVE,ASSERT
Niemals 15% ohne Manipulation.,ASSERTIVE,ASSERT
#maischberger,OTHER,OTHER
|LBR| Der Mann habe plötzlich einen nicht näher genannten - Gegenstand gezogen.,ASSERTIVE,ASSERT
Weiter so.,DIRECTIVE,REQUIRE
"""Verdientes Remis""?",DIRECTIVE,REQUEST
Die Integrität des Schanzendaches wird durch das starke verlangen niemals Wingl zu berühren extrem verstärkt.,ASSERTIVE,ASSERT
"Die Stimmen passen unglaublich gut,",EXPRESSIVE,REJOICE
"Vielleicht hätte er sie sogar geschwängert,",ASSERTIVE,GUESS
@leon_dnebach @Heinrich_Krug,DIRECTIVE,ADDRESS
"Leute, wacht doch mal auf und lernt zu differenzieren.",DIRECTIVE,REQUIRE
Größenwahnsinnig.,EXPRESSIVE,COMPLAIN
|LBR| Isso!,ASSERTIVE,AGREE
"Den grauen Himmel ist man gar nicht gewohnt,",ASSERTIVE,ASSERT
"ich mein du bist ja mehr auf Umwelt als Mensch, wenn du weg bist, weniger co2 und so, wa, super Idee oder?",DIRECTIVE,REQUEST
Ihr „Gute-Kita-Gesetz“ sie will es schnell haben damit ihre Reichen Freunde jeden Monat Geld sparen.,ASSERTIVE,ASSERT
|LBR| Wartezeit bis zum Tilt.,UNSURE,UNSURE
sollten wir nicht in Berlin und Brüssel stehen und die Banditen aus ihren Ämtern jagen?,DIRECTIVE,REQUEST
@PetrBystronAfD,DIRECTIVE,ADDRESS
Bezahlt mit Steuer Gelder.,UNSURE,UNSURE
Warum schaut Ihr diesen Scheiß eigentlich?,DIRECTIVE,REQUEST
@DeutschPI,DIRECTIVE,ADDRESS
Wie zerstört man am effektivsten die Zukunft eines Landes?,DIRECTIVE,REQUEST
@Germanseries @faznet,DIRECTIVE,ADDRESS
@allesevolution,DIRECTIVE,ADDRESS
Geilste Umfrage des Tages!,UNSURE,UNSURE
Zweimal sitzengeblieben und ohne Schulabschluss.,ASSERTIVE,ASSERT
"Ich finde es nur bemerkenswert penetrant, wie die ganze Zeit ""OB von Tübingen!""als Legitimation verwendet wird, um über einen Politvollhonk zu berichten, so als würde das eine Relevanz implizieren.",EXPRESSIVE,COMPLAIN
"Ist ne Kampagne der Gutmenschen, sich dieser Umfrage besonders anzunehmen.",ASSERTIVE,ASSERT
"Hier ist wieder ein Beispiel dass wir Deutschen uns integrieren müssen ,",ASSERTIVE,ASSERT
"Schweizer Zeitungen sind für Bundesbürger mittlerweile das, was das Westfernsehen für DDR-Bürger war.",ASSERTIVE,ASSERT
"die Verstehen nur Körperliche Gewalt,",ASSERTIVE,ASSERT
Du drehst es Dir wie du es brauchst.,ASSERTIVE,ASSERT
"Schon die Wörter ""schmutzige Technologien""implizieren, dass der Automobilbau eine Technologie ist, die entsorgt werden müsse.",ASSERTIVE,ASSERT
Sie hängt von der Abstammung ab.,ASSERTIVE,ASSERT
"deshalb,",ASSERTIVE,ASSERT
anchmal kotzt mich der Dogmatismus der Linken so sehr an.,EXPRESSIVE,COMPLAIN
Ein Konstrukt wie die BRD die nach dem Rosenthal Plan umgestaltet wird,UNSURE,UNSURE
Bestes AfD Werbepferd.,EXPRESSIVE,COMPLAIN
|LBR| Verratene Arbeiter kehren nie zurück.,ASSERTIVE,ASSERT
@Eddie_1412 @Swingtanz,DIRECTIVE,ADDRESS
Leute regt euch nicht auf....,DIRECTIVE,REQUIRE
predige ich etzadla schon hundert Jahre lang.,UNSURE,UNSURE
😉👍👍,EXPRESSIVE,expressEMOJI
@waldruhe,DIRECTIVE,ADDRESS
„Mit einem Gegenstand“ zynischer geht es kaum.,EXPRESSIVE,COMPLAIN
Mal sehen...wenn ich jetzt schreiben würde mann soll Flüchtlinge würgen dann werde ich bestimmt gesperrt..?,ASSERTIVE,GUESS
Ja eben scheiß #Humanismus,UNSURE,UNSURE
Ich habe eine Scheißangst,EXPRESSIVE,COMPLAIN
Langsam dreht dieser Vollpfosten richtig frei.,ASSERTIVE,ASSERT
@Hobbit9797 @tagesschau,DIRECTIVE,ADDRESS
"""Das „generische Maskulinum“ sei nun einmal weit verbreitet und jeder wisse, dass Frauen hier eingeschlossen seien.",ASSERTIVE,ASSERT
Aber sofort.....!,DIRECTIVE,REQUIRE
Die Symtome sind seit Monaten da,UNSURE,UNSURE
War doch klar!!!,EXPRESSIVE,COMPLAIN
@eine_Biene,DIRECTIVE,ADDRESS
im block wird getuschelt -,ASSERTIVE,SUSTAIN
Gibt es Schuhe und Handtaschen im Sonderangebot?,DIRECTIVE,REQUEST
@GeraldGrosz,DIRECTIVE,ADDRESS
Mit dieser Tyrannei muss Schluss sein!,DIRECTIVE,REQUIRE
Überlegungen zum Tag.,ASSERTIVE,ASSERT
Hier sieht man primär ein Foto mit einem Text darunter.,ASSERTIVE,ASSERT
des is so krass,ASSERTIVE,ASSERT
"Ich las ""Einhorn""und WTF'te kurz hart.",ASSERTIVE,ASSERT
@MENA_WATCH @Kaputtnikkkk,DIRECTIVE,ADDRESS
Was kommt eigentlich nach dem Verfassungsschutz?,DIRECTIVE,REQUEST
.... scheiß Antisemiten!,EXPRESSIVE,COMPLAIN
@afdkrefeld,DIRECTIVE,ADDRESS
Rechtsstaat.,ASSERTIVE,ASSERT
Ein Jude?,DIRECTIVE,REQUEST
Päderasten und Deutschlandfeinde.,EXPRESSIVE,COMPLAIN
"Irgendein armes Arschlich wird als Bauernopfer vorgeführt, doch die Spitze der politischen Korruption, #VonderLeyen #CDU wird weiterhin, ungeschoren Ihr Unwesen treiben.",ASSERTIVE,PREDICT
"da braucht es nur Traktoren, kaum PKW....",ASSERTIVE,ASSERT
In #Köthen der Antifa auf die Klöten...,UNSURE,UNSURE
"Und dann nimmt das da daran Teil,",UNSURE,UNSURE
🛤,EXPRESSIVE,expressEMOJI
"Danach noch 2 Minuten mit jedem einzelnen Hinterbliebenen, der unzähligen, unschuldigen, vergewaltigten, abgeschlachteten Frauen und Kindern",EXPRESSIVE,WISH
@Alexplantsatree @griechenwoos2 @Die_Gruenen,DIRECTIVE,ADDRESS
Zum Mond?,DIRECTIVE,REQUEST
Laut dem unmoralischen Beduinen aber!,UNSURE,UNSURE
|LBR| Annegret Kramp-Karrenbauer jetzt beliebteste Politikerin der Welt,ASSERTIVE,ASSERT
Nazi Medien und Merkel Vasallen hetzen weiter gegen den Präsidenten der Vereinigten Staaten!!,EXPRESSIVE,COMPLAIN
Oder einen bestimmten Prozentsatz?,DIRECTIVE,REQUEST
Typisch Kika,EXPRESSIVE,COMPLAIN
@MENA_WATCH @Rudisagmal @leuthold_hans @vonBeutelratte @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva,DIRECTIVE,ADDRESS
Die gibt es zuhauf!,ASSERTIVE,ASSERT
@hundimbuero,DIRECTIVE,ADDRESS
Einfach unwählbar,EXPRESSIVE,COMPLAIN
#AKK Annegret Kramp-#Karrenbauer #CDU plant Gesprächsrunde zur Migrationspolitik.,ASSERTIVE,ASSERT
nennst den bürgi vor dem herren autonom,UNSURE,UNSURE
überall machen wir Deutsche uns zum Narren,EXPRESSIVE,COMPLAIN
Das Manifest der kommunistischen Partei,UNSURE,UNSURE
|LBR| Gar keine.,ASSERTIVE,ASSERT
@MENA_WATCH @Ski3989 @vonBeutelratte @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv,DIRECTIVE,ADDRESS
"Das Altparteienkartell bildet Linksblock im Linksstaat mit den ""5 Shades of Left"": CDU/CSU neulinks, SPD diffuslinks, FDP linksliberal, Grüne ökolinks, Linke linksradikal.",ASSERTIVE,ASSERT
\U261D🏻 ,EXPRESSIVE,expressEMOJI
"Weil die AfD den Ferkelfunk abschaffen will,",ASSERTIVE,ASSERT
das ist die bittere Wahrheit!!!,ASSERTIVE,ASSERT
"#CDU-Generalsekretär |LBR| #Ziemiak lässt Amt als JU-Chef ruhen,",ASSERTIVE,ASSERT
|LBR| Die #SPD unterstellt Frauen in einer prekären Lebenssituation Leichtfertigkeit.,ASSERTIVE,ASSERT
denn ich bin wie gesagt sehr kluk.,EXPRESSIVE,COMPLAIN
#USwahl16,OTHER,OTHER
Wenn das zustande kommt müßte es eigentlich jeder merken das wir übergangen werden....!,ASSERTIVE,GUESS
"Schön wäre es, doch der korrupte, staatstreue Stasi-Apararat #Verfassungsschutz wird doch auch nur vom #Parteikartel #GroKo geschmiert.",EXPRESSIVE,COMPLAIN
Dieses Schwein darf nicht abgeschoben werden...noch nicht...,DIRECTIVE,REQUIRE
|LBR| @AnjaReschke1,DIRECTIVE,ADDRESS
@MDR_SAN,DIRECTIVE,ADDRESS
vielleicht solltet ihr Euch mal auf irgendwas einigen....,DIRECTIVE,SUGGEST
"|LBR| Keine weinerliche Özil-Pussi im Team,",ASSERTIVE,ASSERT
#fcsp,OTHER,OTHER
@Korrupt,DIRECTIVE,ADDRESS
@winterfruitloop,DIRECTIVE,ADDRESS
"Und unsere Träumer glauben, dass sie diese wilden bekehren können.",ASSERTIVE,ASSERT
|LBR| Leider funktioniert das nicht so.,ASSERTIVE,EXCLUDED
@nachtlikkat @IQ_Stimulator,DIRECTIVE,ADDRESS
Keine Panik.,ASSERTIVE,ASSERT
Ideologie über alles?,DIRECTIVE,REQUEST
"10, 20?",DIRECTIVE,REQUEST
"Weil zu 99,7 % Kinder eben NICHT auf ihre Eltern SCHIEßEN !",ASSERTIVE,ASSERT
#wismar,OTHER,OTHER
Sollen die auch ihre Kultur ausüben dürfen?,DIRECTIVE,REQUEST
Die Antwort darauf könnte Teile der Bevölkerung verunsichern.,ASSERTIVE,GUESS
"|LBR| Fragt uns Deutsche doch mal wie wir uns mit der eingewanderten Kriminalität der Bereicherer fühlen, die uns täglich aufgezwungen wird.",DIRECTIVE,REQUIRE
Warum sollen Reiche keine Kita Gebrüren zahlen?,DIRECTIVE,REQUEST
"Frauen verdienen weniger, weil sie sich so entscheiden.",ASSERTIVE,SUSTAIN
"Wenn Trump der neue Hitler ist, |LBR| Was ist dann Clinton??",DIRECTIVE,REQUEST
@Erdrandbewohner,DIRECTIVE,ADDRESS
"Ah, hat dich dieselbe hohldrehende Pissbirne auch gemeldet.",EXPRESSIVE,COMPLAIN
Aber hier denken die ja auch wir müssen die Wilden nur holen und sie sind geheilt.,ASSERTIVE,ASSERT
So ein Früchtchen.,ASSERTIVE,ASSERT
parallel dazu sind viele Deutsche Obdachlos...,EXPRESSIVE,COMPLAIN
sorry not sorry,UNSURE,UNSURE
Von daher auch die Phopie.,ASSERTIVE,ASSERT
#SPD Kampfkandidaturen über ihre Liste für die Wahl zum #EU-Parlament,ASSERTIVE,ASSERT
"Dass das Kopftuch religiöse Fundamentalismus verharmlost und propagiert, macht dieses Recht nicht weniger wichtig.",ASSERTIVE,ASSERT
|LBR| Alles andere ist Bullshit.,ASSERTIVE,ASSERT
@PolitburoGamer,DIRECTIVE,ADDRESS
😜,EXPRESSIVE,expressEMOJI
"ekelhaft und abartig, ist noch milde ausgedrückt!",EXPRESSIVE,COMPLAIN
|LBR| Hirne voller Scheiße,EXPRESSIVE,COMPLAIN
|LBR| 1/7,UNSURE,UNSURE
Und zu deinem Cartoon.,OTHER,OTHER
"Aber immer auf die bösen , bösen Rechten schießen!",EXPRESSIVE,COMPLAIN
"Ja, weil auch Blöde, wie Sie?, irgendwann erkennen müssen was Ferkel importiert hat,",ASSERTIVE,SUSTAIN
"Merkel ist furchtbar, und alle potentiellen Nachfolger werden nur noch schlimmer...",EXPRESSIVE,COMPLAIN
Südländer überfallen 22-jährigen in Neunkrichen,ASSERTIVE,ASSERT
dann passts für den Staatsfunk wieder.,EXPRESSIVE,COMPLAIN
"""Gleichzeitig muss der Mann ja überhaupt nicht arbeiten und wird hauptsächlich von seinen Privilegien bezahlt, wärend Frauen mehr Arbeiten und trotzdem weniger bekommen.",EXPRESSIVE,COMPLAIN
Das einizg Gute an #Jamaika @HeikoMaas ist endlich weg!,EXPRESSIVE,REJOICE
auch heute wieder nur drittklassige #Laiendarsteller in einem extrem beschissenen #Tatort,EXPRESSIVE,COMPLAIN
@Die_Gruenen,DIRECTIVE,ADDRESS
"Wie auch das Video des BAMF was weiter für die Invasion, Asyl Missbrauch in der BRD wirbt...",EXPRESSIVE,COMPLAIN
|LBR| Dann schlafen.,COMMISSIVE,COMMISSIVE
Tja....,OTHER,OTHER
Du verkackter 0 Follower Troll.,EXPRESSIVE,COMPLAIN
Alle anderen sind primitive Satrapen der Völkermordzentrale USA und ISRAELS!,EXPRESSIVE,COMPLAIN
|LBR| Wer bis Ende des Jahres noch steht hat gewonnen!,ASSERTIVE,ASSERT
Lüge...,UNSURE,UNSURE
Volker Beck ist ein gutes Beispiel.,ASSERTIVE,ASSERT
"Scheiße, oder?",DIRECTIVE,REQUEST
sind nur noch Arbeitssklaven damt Reiche mehr Profit machen.,ASSERTIVE,ASSERT
:-(,EXPRESSIVE,expressEMOJI
@Heinrich_Krug @ntvde,DIRECTIVE,ADDRESS
"Ferkel schloss auch eine PKW Maut aus, und das Mörder, Verbrecher mit der Invasion ins Land kommen,",ASSERTIVE,ASSERT
@krippmarie @DrDavidBerger,DIRECTIVE,ADDRESS
@hmilz,DIRECTIVE,ADDRESS
@ZDFheute,DIRECTIVE,ADDRESS
"|LBR| Es ist ""Supremacy"", sich selbst im Mittelfeld zu verorten?",DIRECTIVE,REQUEST
Eine |LBR| Schande für die SPD und ein Armutszeichen. für D.,EXPRESSIVE,COMPLAIN
In so ziemlich JEDEM ihrer Machwerke.,UNSURE,UNSURE
Und dann hast Du noch den dümmsten Schiedsrichter aller Zeiten ...,ASSERTIVE,ASSERT
dann hätten wir nämlich wieder nichts erfahren!,ASSERTIVE,ASSERT
wir sind jetzt Islam!,EXPRESSIVE,COMPLAIN
Es gibt nur eine Nationale Identität.,ASSERTIVE,ASSERT
we're not gonna agree.,UNSURE,UNSURE
"um dies zu verhindern, wurden UN und internationales Recht geschaffen.",ASSERTIVE,ASSERT
who knows?!,DIRECTIVE,REQUEST
die sind halt Teil unserer kranken Gesellschaft.,ASSERTIVE,ASSERT
Wir wissen doch wo die Grenzen verlaufen,ASSERTIVE,ASSERT
@_ORen_Ishii @helllud123,DIRECTIVE,ADDRESS
@OliverSenst @kardasiapat,DIRECTIVE,ADDRESS
@hdBerretz,DIRECTIVE,ADDRESS
@marctailer3 @Wahemue,DIRECTIVE,ADDRESS
@TobiasM_28 @Tom174_ @Die_Gruenen,DIRECTIVE,ADDRESS
Wer nutzt den gerade das Massaker von Chemnitz für ein heuchlerisches Konzert?,DIRECTIVE,REQUEST
"Das ist leider schon bei der ersten Welle ""Zweiter-Weltkriegs-Shooter""vor 15 Jahren so gewesen.",EXPRESSIVE,COMPLAIN
@SteinbachErika,DIRECTIVE,ADDRESS
@dcxxx187,DIRECTIVE,ADDRESS
Du bist ja ein Prachtexemplar.,ASSERTIVE,ASSERT
"momentan kriechen die #SS-Offiziere der #CDU und anderen Parteien, aus dem Merkel-regime, aus den tiefen der deutschen Kanalisationen des 3.Reiches auf.",EXPRESSIVE,COMPLAIN
"Es gibt nicht ""islamistisch"",",ASSERTIVE,EXCLUDED
"Ja, beide Anstalten extrem identitäre ID politics Sprallos",UNSURE,UNSURE
|LBR| Sie schaut sehr streng.,ASSERTIVE,ASSERT
Dick korreliert nicht mit sexueller Anziehung.,UNSURE,UNSURE
@georgrestle,DIRECTIVE,ADDRESS
|LBR| Die SPD ist eine Verräter Partei,EXPRESSIVE,COMPLAIN
🤔,EXPRESSIVE,expressEMOJI
Das genügt mir.,ASSERTIVE,ASSERT
Vielleicht haben die alle ihre Tage.,ASSERTIVE,GUESS
Dieses grundlose Gekreische von den Nichtsnutzen ist nicht auszuhalten.,EXPRESSIVE,COMPLAIN
"Jetzt stell dir mal vor, du würdest die ganze Zeit davon lesen, was für einen Bullshit der OB von Herdecke die ganze Zeit aufführt.",DIRECTIVE,REQUIRE
"Ach, der kleine gierige Kriegsgewinnler mach dich tatsächlich nochmal die Futterluke auf.",EXPRESSIVE,COMPLAIN
"Süß wenn Führer Treue Propaganda ein Thema komplett verzerrt, einseitig betrachtet....",EXPRESSIVE,COMPLAIN
🙃😋🤭,EXPRESSIVE,expressEMOJI
War quasi die Einstiegsdroge für Alkohol und zuviel Zucker.,ASSERTIVE,ASSERT
Siehe auch Berliner Polizei !,DIRECTIVE,REQUIRE
Kann Angela derzeit mal überhaupt nicht gebrauchen.,EXPRESSIVE,COMPLAIN
Genderstudies stehen in ihrer 20 jährigen Existenz stärker im Konflikt mit den existierenden Wissenschaften als alles davor.,ASSERTIVE,ASSERT
Was ist denn mit unseren Generälen los ??,DIRECTIVE,REQUEST
Weil den Moslems alles erlaubt und finanziert wird ?!,DIRECTIVE,REQUEST
"kenn mich nicht aus, aber ich glaub da gibts schon cash wie sau",ASSERTIVE,GUESS
Die Linken Anarchisten sind Saboteure am Deutschen Volk und gehören in Umerziehungs-Lager.,EXPRESSIVE,COMPLAIN
gott bekackte kack kacke,EXPRESSIVE,COMPLAIN
Deutscher Mensch zweiter Klasse?,DIRECTIVE,REQUEST
da kämpft die Jugendkammer mit allen Mitteln ihn doch nach Jugendstrafrecht zu verurteilen und da kommt der dämliche Vater und ruiniert alles...,ASSERTIVE,ASSERT
@AfD @christianlueth,DIRECTIVE,ADDRESS
